08-26 20:59:06.188 20491 20504 I TestRunner: started: bannerIsOnScreenWithAFullFeed(com.bonjur.notification.presentation.feed.NeedsActionBannerVisibleTest)
08-26 20:59:06.191 20491 20504 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@120e15b]
08-26 20:59:06.192 20491 20504 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-26 20:59:06.194   654   965 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@7b3372c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-26 20:59:06.196  1077  1077 D RecentsView: onTaskDisplayChanged: 141, new displayId = 0
08-26 20:59:06.197   474   632 I libbinder.BpBinder: onLastStrongRef automatically unlinking death recipients for binder (0xb4007f98a2053110) with descriptor: '(not cached)'
08-26 20:59:06.199   922   989 W DisconnectHandler: No disconnect change found in the transition, not handling request.
08-26 20:59:06.199   512   563 W libbinder.IPCThreadState: Sending oneway calls to frozen process.
08-26 20:59:06.199   512   563 W libbinder.IPCThreadState: Sending oneway calls to frozen process.
08-26 20:59:06.202   654  1880 W InputChannel-JNI: Channel already disposed.
08-26 20:59:06.203  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:06.203  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:06.204  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:06.205   654   674 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): null
08-26 20:59:06.207 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@932bec5 in: PRE_ON_CREATE
08-26 20:59:06.207 20491 20491 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-26 20:59:06.208 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@932bec5 in: CREATED
08-26 20:59:06.208 20491 20491 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=androidx.activity.ComponentActivity@932bec5
08-26 20:59:06.209 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@932bec5 in: STARTED
08-26 20:59:06.209 20491 20491 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=androidx.activity.ComponentActivity@932bec5
08-26 20:59:06.209 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@932bec5 in: RESUMED
08-26 20:59:06.209 20491 20491 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=androidx.activity.ComponentActivity@932bec5
08-26 20:59:06.212   922  1065 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda14@69ce4
08-26 20:59:06.212   654  1880 W InputChannel-JNI: Channel already disposed.
08-26 20:59:06.213   922  1065 I Surface : Creating surface for consumer unnamed-922-77 with slotExpansion=1 for 64 slots
08-26 20:59:06.214   922  1065 I Surface : Creating surface for consumer VRI[test]#75(BLAST Consumer)75 with slotExpansion=1 for 64 slots
08-26 20:59:06.216 20491 20491 D VRI[ComponentActivity]: WindowInsets changed: 1080x2424 statusBars:[0,142,0,0] navigationBars:[0,0,0,63] mandatorySystemGestures:[0,174,0,84]
08-26 20:59:06.217 20491 20491 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda14@a3e13ca
08-26 20:59:06.220   654   674 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.app.Dialog$$ExternalSyntheticLambda2@350c04b
08-26 20:59:06.221 20491 20491 I Surface : Creating surface for consumer unnamed-20491-2 with slotExpansion=1 for 64 slots
08-26 20:59:06.221 20491 20491 I Surface : Creating surface for consumer VRI[ComponentActivity]#2(BLAST Consumer)2 with slotExpansion=1 for 64 slots
08-26 20:59:06.223   654   674 I Surface : Creating surface for consumer unnamed-654-47 with slotExpansion=1 for 64 slots
08-26 20:59:06.224   654   674 I Surface : Creating surface for consumer VRI[DeprecatedTargetSdkVersionDialog]#10(BLAST Consumer)10 with slotExpansion=1 for 64 slots
08-26 20:59:06.239   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.243  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:06.247   654   673 I ActivityTaskManager: Displayed com.bonjur.notification.test/androidx.activity.ComponentActivity for user 0: +53ms
08-26 20:59:06.262   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 328 CompositionType fallback from 3 to 1
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.262   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.280   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.295   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 329 CompositionType fallback from 2 to 1
08-26 20:59:06.295   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 330 CompositionType fallback from 3 to 1
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.296   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.304   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.306  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:06.307  1077  1123 D PreloadThumbnailUseCase: Preloading thumbnails for task ids: [[id=124 windowingMode=1 user=0 lastActiveTime=10223002] null, [id=136 windowingMode=1 user=0 lastActiveTime=106770944] null, [id=141 windowingMode=1 user=0 lastActiveTime=106770953] null]
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.313   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
