08-26 20:59:08.415 20491 20504 I TestRunner: started: bannerIsOnScreenWithAnEmptyFeed(com.bonjur.notification.presentation.feed.NeedsActionBannerVisibleTest)
08-26 20:59:08.416  1077  1077 D RecentsView: onTaskRemoved: 141, not handling task stack changes
08-26 20:59:08.416  1077  1077 D RecentsView: onTaskRemoved: 141, not handling task stack changes
08-26 20:59:08.417 20491 20504 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@a30073c]
08-26 20:59:08.418 20491 20504 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-26 20:59:08.420   654  1880 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@7b3372c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-26 20:59:08.422  1077  1077 D RecentsView: onTaskDisplayChanged: 142, new displayId = 0
08-26 20:59:08.423   474   632 I libbinder.BpBinder: onLastStrongRef automatically unlinking death recipients for binder (0xb4007f98a2058ff0) with descriptor: '(not cached)'
08-26 20:59:08.423  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:08.423   922   989 W DisconnectHandler: No disconnect change found in the transition, not handling request.
08-26 20:59:08.424  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:08.425   654  1752 W InputChannel-JNI: Channel already disposed.
08-26 20:59:08.425   512   563 W libbinder.IPCThreadState: Sending oneway calls to frozen process.
08-26 20:59:08.425   512   563 W libbinder.IPCThreadState: Sending oneway calls to frozen process.
08-26 20:59:08.427   654   674 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): null
08-26 20:59:08.428   922  1065 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda14@4e03d5b
08-26 20:59:08.433 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@f2d6740 in: PRE_ON_CREATE
08-26 20:59:08.433 20491 20491 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-26 20:59:08.433  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:08.434 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@f2d6740 in: CREATED
08-26 20:59:08.434 20491 20491 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=androidx.activity.ComponentActivity@f2d6740
08-26 20:59:08.434 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@f2d6740 in: STARTED
08-26 20:59:08.434 20491 20491 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=androidx.activity.ComponentActivity@f2d6740
08-26 20:59:08.435   922  1065 I Surface : Creating surface for consumer unnamed-922-78 with slotExpansion=1 for 64 slots
08-26 20:59:08.435 20491 20491 D LifecycleMonitor: Lifecycle status change: androidx.activity.ComponentActivity@f2d6740 in: RESUMED
08-26 20:59:08.435 20491 20491 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=androidx.activity.ComponentActivity@f2d6740
08-26 20:59:08.435   922  1065 I Surface : Creating surface for consumer VRI[test]#76(BLAST Consumer)76 with slotExpansion=1 for 64 slots
08-26 20:59:08.440   654  1880 W InputChannel-JNI: Channel already disposed.
08-26 20:59:08.440 20491 20491 D VRI[ComponentActivity]: WindowInsets changed: 1080x2424 statusBars:[0,142,0,0] navigationBars:[0,0,0,63] mandatorySystemGestures:[0,174,0,84]
08-26 20:59:08.441 20491 20491 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda14@7092070
08-26 20:59:08.444 20491 20491 I Surface : Creating surface for consumer unnamed-20491-4 with slotExpansion=1 for 64 slots
08-26 20:59:08.444 20491 20491 I Surface : Creating surface for consumer VRI[ComponentActivity]#4(BLAST Consumer)4 with slotExpansion=1 for 64 slots
08-26 20:59:08.447   654   674 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.app.Dialog$$ExternalSyntheticLambda2@5f42b71
08-26 20:59:08.451   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.460   654   673 I ActivityTaskManager: Displayed com.bonjur.notification.test/androidx.activity.ComponentActivity for user 0: +36ms
08-26 20:59:08.463  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:08.465   654   674 I Surface : Creating surface for consumer unnamed-654-51 with slotExpansion=1 for 64 slots
08-26 20:59:08.465   654   674 I Surface : Creating surface for consumer VRI[DeprecatedTargetSdkVersionDialog]#12(BLAST Consumer)12 with slotExpansion=1 for 64 slots
08-26 20:59:08.478   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 338 CompositionType fallback from 3 to 1
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.478   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.487   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.495   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.511   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 340 CompositionType fallback from 3 to 1
08-26 20:59:08.511   444   604 I RanchuHwc: logCompositionFallbackIfChanged: layer 339 CompositionType fallback from 2 to 1
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.528   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.529  1077  1077 D RecentTasksList: invalidateLoadedTasks - previous requestLoadId: -1
08-26 20:59:08.531  1077  1123 D PreloadThumbnailUseCase: Preloading thumbnails for task ids: [[id=124 windowingMode=1 user=0 lastActiveTime=10223002] null, [id=136 windowingMode=1 user=0 lastActiveTime=106773169] null, [id=142 windowingMode=1 user=0 lastActiveTime=106773174] null]
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
